gvkey,fyear,datadate,conm,fic,cik,ein
237576,1998,19981231,CASH.LIFE AG,DEU,NA,
237596,2000,20001231,AMATECH AG,DEU,NA,
237597,1998,19981231,BAEURER AG,DEU,NA,
237598,1996,19961231,BIT BY BIT HOLDING AG,DEU,NA,
237599,1999,19991231,CDV SOFTWARE ENTERTAINMENT,DEU,NA,
237600,1999,19991231,CONCEPT AG,DEU,NA,
237601,1999,19991231,CYCOS AG,DEU,NA,
237604,1999,19991231,EGG PLC,GBR,NA,
237605,1998,19981231,MSG LIFE AG,DEU,NA,
237606,1998,19981231,JOST AG,DEU,NA,
237607,2000,20000630,KNOWLEDGE MGMT SOFTWARE,GBR,NA,
237609,1999,19991231,BROADNET AG,DEU,NA,
237616,1998,19990331,PC-WARE INFO TECHNOLOGIES AG,DEU,NA,
237619,1999,19991231,SNT GROUP NV,NLD,NA,
237620,1999,19990630,SWING ENTERTAINMENT MEDIA AG,DEU,NA,
237621,1998,19981231,TEAMWORK INFORMATION MGMT AG,DEU,NA,
237636,1998,19981231,WERBAS AG,DEU,NA,
237656,1999,19991231,COMDIRECT BANK AG,DEU,NA,
237676,1995,19960331,EUREKA INDUSTRIES LTD,IND,NA,
237697,1998,19981231,BERNARD LOISEAU SA,FRA,NA,
237698,1998,19981231,CIE FRANCAISE MOULAGES METAL,FRA,NA,
237716,1997,19971231,CGBI SA,FRA,NA,
237717,2000,20001231,CIE FINANCIERE GEO,FRA,NA,
237719,1997,19971231,STE EXPLOSIFS & PRODUIT CHIM,FRA,NA,
237720,1999,19991231,FAROS SA,FRA,NA,
237721,1999,19991231,FIEBM SA,FRA,NA,
237722,1998,19981231,FLEURY MICHON,FRA,NA,
237723,1997,19971231,GROUPE OPEN SA,FRA,NA,
237724,2000,20001231,GRANDS MOULINS DE STRASBOURG,FRA,NA,
237725,1998,19981231,NORCAN SA,FRA,NA,
237726,1998,19981231,OPERA CONSTRUCTION SA,FRA,NA,
237727,1997,19971231,OTOR SA,FRA,NA,
237728,1997,19970930,PARSYS SA,FRA,NA,
237731,1998,19980630,SODIFRANCE,FRA,NA,
237732,1999,19991231,TUNISIENNE D'ENTREPRISES TEL,TUN,NA,
237736,2000,20000930,STE VERMANDOISE DE SUCRERIES,FRA,NA,
237757,1999,19990630,CHOSEN HOLDINGS LTD,SGP,NA,
237758,1998,19981231,CIBOX INTERACTIVE,FRA,NA,
237759,1999,19991231,FORMOSA INTERNATIONAL HOTELS,TWN,NA,
237760,2002,20021231,FORTUNE ELECTRIC CO LTD,TWN,NA,
237761,1998,19981231,FU SHENG INDUSTRIAL CO LTD,TWN,NA,
237776,1996,19960630,EMERGE GAMING LTD,AUS,NA,
237777,1996,19961231,GOLD CIRCUIT ELECTRONICS LTD,TWN,NA,
237778,2003,20031231,HITRON TECHNOLOGY INC,TWN,NA,
237779,1997,19971231,HOTUNG INVESTMENT HLDGS LTD,BMU,NA,
237780,1994,19940630,IMPRESS ENERGY LTD,AUS,NA,
237781,1999,19991231,STAGING CONNECTIONS GP LTD,AUS,NA,
237782,1997,19971231,KYE SYSTEMS CORP,TWN,NA,
237796,2002,20021231,LING SEN PRECISION INDUSTRES,TWN,NA,
237797,2005,20051231,ISIKLAR ENERJI VE YAPI HLDGS,TUR,NA,
237798,1997,19970630,DKN FINANCIAL GROUP LTD,AUS,NA,
237799,1998,19980630,JABIRU METALS LTD,AUS,NA,
237800,2003,20031231,SAKURA DEVELOPMENT CO LTD,TWN,NA,
237801,2002,20021231,SANYO ELECTRIC (TAIWAN) CO,TWN,NA,
237802,2003,20031231,SHAN-LOONG TRANSPORTATION,TWN,NA,
237803,1999,19991231,SIIC MED SCI & TECH (GP) LTD,CYM,NA,
237804,2002,20021231,TA YIH INDUSTRIAL CO LTD,TWN,NA,
237805,1996,19960630,MPOWER GROUP LTD,AUS,NA,
237806,2000,20001231,TAIWAN FERTILIZER CO LTD,TWN,NA,
237807,2001,20011231,TAIWAN FIRE & MARINE INSUR,TWN,NA,
237808,2001,20011231,TAIWAN LIFE INSURANCE CO LTD,TWN,NA,
237809,1998,19990331,TELECOM CITY,FRA,NA,
237810,1998,19981231,TYC BROTHER INDL CO LTD,TWN,NA,
237811,1998,19981231,UNITECH PRINTED CIRCUIT,TWN,NA,
237812,1996,19961231,AFT CORP LTD,AUS,NA,
237813,1999,19991231,WISHER INDUSTRIAL CO LTD,TWN,NA,
237814,1998,19981231,CHINA OCEAN INDUSTRY GROUP,BMU,NA,
237816,1999,19991231,BD MULTIMEDIA,FRA,NA,
237817,1996,19961231,CEMENTOS DEL VALLE,COL,NA,
237819,1998,19981231,DISTRIBUIDORA DE GAS CUYANA,ARG,NA,
237820,1997,19971231,GRANA Y MONTERO SA,PER,1572621,
237822,1998,19981231,KEKKILA OY,FIN,NA,
237823,1999,19991231,PROBI AB,SWE,NA,
237824,1996,19960630,SATAIR A/S,DNK,NA,
237825,2003,20031231,SERMA GROUP SA,FRA,NA,
237826,1998,19981231,TEKLA OYJ,FIN,NA,
237876,1999,19990930,ACTINIC PLC,GBR,NA,
237896,2000,20001231,SEDO HOLDING AG,DEU,NA,
237897,1996,19960630,AERO INVENTORY PLC,GBR,NA,
237898,1999,19991231,FMR ARTE,ITA,NA,
237900,1997,19980331,TAI UNITED HOLDINGS LTD,BMU,NA,
237901,1998,19990531,WEBIS HOLDINGS PLC,GBR,NA,
237903,1999,19991231,CLEAR LEISURE PLC,GBR,NA,
237905,1997,19970630,CHINA DIGICONTENT CO LTD,BMU,NA,
237906,2000,20001231,CENTRO HL DISTRIBUZIONE SPA,ITA,NA,
237908,2000,20010228,TANGENT COMMUNICATIONS,GBR,NA,
237909,1999,19991231,D&S EUROPE AG,DEU,NA,
237910,1999,19991231,DAY SOFTWARE HOLDING AG,CHE,1313544,
237911,2000,20001231,REVENIO GROUP CORP,FIN,NA,
237913,1999,19991231,EQ CORP,FIN,NA,
237914,2000,20001231,EQ GROUP PLC,GBR,NA,
237915,2000,20000831,GAMELOFT SE,FRA,NA,
237917,1999,19991231,ADUX SA,FRA,NA,
237918,1999,19991231,I.NET SPA,ITA,NA,
237937,1999,19991031,INTERNET BUSINESS GROUP PLC,GBR,NA,
237938,2003,20030930,RWS HOLDINGS PLC,GBR,NA,
237939,1999,19990930,SENTERA OYJ,FIN,NA,
237940,1999,19991231,IOMART GROUP PLC,GBR,NA,
237942,1999,19991231,JOBPILOT AG,DEU,NA,
237944,2000,20001231,MEAN FIDDLER MUSIC GROUP PLC,GBR,NA,
237945,1999,19991231,DOCTISSIMO,FRA,NA,
237946,1999,19991231,SKY HIGH PLC,GBR,NA,
237947,1998,19990331,CSCAPE GROUP PLC,GBR,NA,
237948,1998,19981231,NETGEM SA,FRA,NA,
237949,1997,19970630,NETSTORE PLC,GBR,NA,
237950,1999,19991231,ALUMEXX NV,NLD,NA,
237951,2000,20001031,CATALYST MEDIA GROUP PLC,GBR,NA,
237952,1998,19981031,ONLINE TRAVEL CORP PLC,GBR,NA,
237953,1999,19991231,PATSYSTEMS PLC,GBR,NA,
237954,2000,20001231,PIXELNET AG,DEU,NA,
237955,2001,20020228,MESH HOLDINGS PLC,GBR,NA,
237956,1997,19971231,SIGMA CAPITAL GROUP PLC,GBR,NA,
